image_idx,true_label,true_name,pred_label,pred_name
3,33,turn right ahead,37,go straight or left
8,25,road work,27,pedestrians
19,38,keep right,39,keep left
25,11,right-of-way at the next intersection,27,pedestrians
29,11,right-of-way at the next intersection,26,traffic signals
33,23,slippery road,31,wild animals crossing
38,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
41,30,beware of ice or snow,12,priority road
42,18,general caution,20,dangerous curve to the right
45,25,road work,30,beware of ice or snow
48,18,general caution,20,dangerous curve to the right
50,25,road work,23,slippery road
52,15,no vehicles,9,no passing
55,35,ahead only,34,turn left ahead
56,5,speed limit 80,1,speed limit 30
61,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
63,9,no passing,10,no passing for vehicles over 3.5 metric tons
72,30,beware of ice or snow,23,slippery road
73,34,turn left ahead,35,ahead only
78,25,road work,30,beware of ice or snow
79,25,road work,23,slippery road
81,33,turn right ahead,34,turn left ahead
98,9,no passing,10,no passing for vehicles over 3.5 metric tons
103,11,right-of-way at the next intersection,30,beware of ice or snow
104,33,turn right ahead,34,turn left ahead
108,33,turn right ahead,34,turn left ahead
113,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
116,27,pedestrians,25,road work
117,29,bicycles crossing,25,road work
118,1,speed limit 30,8,speed limit 120
119,17,no entry,14,stop
122,1,speed limit 30,2,speed limit 50
127,30,beware of ice or snow,29,bicycles crossing
139,38,keep right,34,turn left ahead
142,6,end of speed limit 80,5,speed limit 80
145,25,road work,23,slippery road
147,41,end of no passing,42,end of no passing by vehicles over 3.5 metric tons
148,11,right-of-way at the next intersection,21,double curve
151,24,road narrows on the right,20,dangerous curve to the right
152,11,right-of-way at the next intersection,30,beware of ice or snow
156,6,end of speed limit 80,5,speed limit 80
164,18,general caution,21,double curve
165,9,no passing,10,no passing for vehicles over 3.5 metric tons
168,29,bicycles crossing,30,beware of ice or snow
169,17,no entry,20,dangerous curve to the right
171,38,keep right,42,end of no passing by vehicles over 3.5 metric tons
175,1,speed limit 30,2,speed limit 50
176,3,speed limit 60,5,speed limit 80
183,25,road work,31,wild animals crossing
184,20,dangerous curve to the right,24,road narrows on the right
186,18,general caution,20,dangerous curve to the right
187,1,speed limit 30,5,speed limit 80
188,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
190,10,no passing for vehicles over 3.5 metric tons,42,end of no passing by vehicles over 3.5 metric tons
196,8,speed limit 120,5,speed limit 80
197,38,keep right,35,ahead only
198,18,general caution,31,wild animals crossing
201,9,no passing,41,end of no passing
203,1,speed limit 30,8,speed limit 120
204,17,no entry,14,stop
207,31,wild animals crossing,23,slippery road
209,15,no vehicles,9,no passing
210,15,no vehicles,9,no passing
211,38,keep right,35,ahead only
216,10,no passing for vehicles over 3.5 metric tons,32,end of all speed and passing limits
232,33,turn right ahead,37,go straight or left
233,18,general caution,20,dangerous curve to the right
235,19,dangerous curve to the left,20,dangerous curve to the right
237,30,beware of ice or snow,28,children crossing
242,20,dangerous curve to the right,19,dangerous curve to the left
249,38,keep right,34,turn left ahead
250,20,dangerous curve to the right,19,dangerous curve to the left
254,34,turn left ahead,33,turn right ahead
256,35,ahead only,34,turn left ahead
258,25,road work,26,traffic signals
259,15,no vehicles,10,no passing for vehicles over 3.5 metric tons
263,25,road work,28,children crossing
265,12,priority road,23,slippery road
266,5,speed limit 80,7,speed limit 100
269,18,general caution,20,dangerous curve to the right
270,18,general caution,11,right-of-way at the next intersection
271,18,general caution,25,road work
273,9,no passing,10,no passing for vehicles over 3.5 metric tons
275,18,general caution,25,road work
277,39,keep left,38,keep right
280,9,no passing,32,end of all speed and passing limits
282,31,wild animals crossing,19,dangerous curve to the left
283,26,traffic signals,27,pedestrians
287,30,beware of ice or snow,25,road work
293,35,ahead only,34,turn left ahead
294,5,speed limit 80,6,end of speed limit 80
309,38,keep right,40,roundabout mandatory
313,38,keep right,28,children crossing
314,1,speed limit 30,8,speed limit 120
323,6,end of speed limit 80,42,end of no passing by vehicles over 3.5 metric tons
325,35,ahead only,40,roundabout mandatory
326,9,no passing,10,no passing for vehicles over 3.5 metric tons
331,18,general caution,25,road work
332,3,speed limit 60,1,speed limit 30
333,25,road work,27,pedestrians
