image_idx,true_label,true_name,pred_label,pred_name
3,33,turn right ahead,40,roundabout mandatory
12,23,slippery road,22,bumpy road
15,9,no passing,17,no entry
17,20,dangerous curve to the right,19,dangerous curve to the left
22,9,no passing,15,no vehicles
25,11,right-of-way at the next intersection,31,wild animals crossing
28,9,no passing,15,no vehicles
29,11,right-of-way at the next intersection,23,slippery road
32,34,turn left ahead,37,go straight or left
33,23,slippery road,31,wild animals crossing
37,12,priority road,38,keep right
38,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
41,30,beware of ice or snow,18,general caution
42,18,general caution,20,dangerous curve to the right
43,12,priority road,25,road work
45,25,road work,27,pedestrians
47,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
50,25,road work,35,ahead only
51,13,yield,19,dangerous curve to the left
52,15,no vehicles,17,no entry
55,35,ahead only,33,turn right ahead
56,5,speed limit 80,1,speed limit 30
58,9,no passing,15,no vehicles
60,38,keep right,39,keep left
61,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
64,15,no vehicles,9,no passing
66,26,traffic signals,28,children crossing
68,5,speed limit 80,3,speed limit 60
72,30,beware of ice or snow,25,road work
73,34,turn left ahead,33,turn right ahead
78,25,road work,27,pedestrians
80,21,double curve,31,wild animals crossing
81,33,turn right ahead,12,priority road
84,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
87,7,speed limit 100,8,speed limit 120
90,3,speed limit 60,2,speed limit 50
91,1,speed limit 30,2,speed limit 50
95,32,end of all speed and passing limits,41,end of no passing
97,38,keep right,37,go straight or left
101,10,no passing for vehicles over 3.5 metric tons,7,speed limit 100
102,5,speed limit 80,2,speed limit 50
103,11,right-of-way at the next intersection,19,dangerous curve to the left
104,33,turn right ahead,36,go straight or right
108,33,turn right ahead,12,priority road
113,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
114,30,beware of ice or snow,22,bumpy road
117,29,bicycles crossing,25,road work
118,1,speed limit 30,8,speed limit 120
119,17,no entry,14,stop
122,1,speed limit 30,2,speed limit 50
125,10,no passing for vehicles over 3.5 metric tons,7,speed limit 100
126,10,no passing for vehicles over 3.5 metric tons,7,speed limit 100
127,30,beware of ice or snow,18,general caution
130,36,go straight or right,35,ahead only
131,3,speed limit 60,5,speed limit 80
135,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
137,40,roundabout mandatory,32,end of all speed and passing limits
139,38,keep right,34,turn left ahead
145,25,road work,27,pedestrians
147,41,end of no passing,32,end of all speed and passing limits
151,24,road narrows on the right,19,dangerous curve to the left
152,11,right-of-way at the next intersection,30,beware of ice or snow
157,9,no passing,15,no vehicles
161,16,vehicles over 3.5 metric tons prohibited,10,no passing for vehicles over 3.5 metric tons
163,25,road work,29,bicycles crossing
164,18,general caution,20,dangerous curve to the right
169,17,no entry,32,end of all speed and passing limits
171,38,keep right,39,keep left
176,3,speed limit 60,17,no entry
177,40,roundabout mandatory,32,end of all speed and passing limits
182,36,go straight or right,35,ahead only
183,25,road work,23,slippery road
186,18,general caution,35,ahead only
188,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
190,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
193,38,keep right,33,turn right ahead
196,8,speed limit 120,5,speed limit 80
198,18,general caution,31,wild animals crossing
203,1,speed limit 30,8,speed limit 120
207,31,wild animals crossing,24,road narrows on the right
210,15,no vehicles,17,no entry
211,38,keep right,33,turn right ahead
212,25,road work,27,pedestrians
214,25,road work,27,pedestrians
216,10,no passing for vehicles over 3.5 metric tons,14,stop
219,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
225,12,priority road,22,bumpy road
229,36,go straight or right,12,priority road
232,33,turn right ahead,32,end of all speed and passing limits
233,18,general caution,20,dangerous curve to the right
235,19,dangerous curve to the left,21,double curve
236,12,priority road,18,general caution
237,30,beware of ice or snow,25,road work
240,12,priority road,22,bumpy road
244,10,no passing for vehicles over 3.5 metric tons,42,end of no passing by vehicles over 3.5 metric tons
246,5,speed limit 80,6,end of speed limit 80
253,36,go straight or right,33,turn right ahead
254,34,turn left ahead,33,turn right ahead
255,28,children crossing,29,bicycles crossing
258,25,road work,26,traffic signals
