image_idx,true_label,true_name,pred_label,pred_name
2,38,keep right,39,keep left
3,33,turn right ahead,40,roundabout mandatory
4,11,right-of-way at the next intersection,26,traffic signals
5,38,keep right,39,keep left
6,18,general caution,19,dangerous curve to the left
8,25,road work,23,slippery road
10,12,priority road,27,pedestrians
12,23,slippery road,31,wild animals crossing
15,9,no passing,17,no entry
17,20,dangerous curve to the right,23,slippery road
19,38,keep right,39,keep left
22,9,no passing,15,no vehicles
25,11,right-of-way at the next intersection,27,pedestrians
27,10,no passing for vehicles over 3.5 metric tons,42,end of no passing by vehicles over 3.5 metric tons
28,9,no passing,15,no vehicles
29,11,right-of-way at the next intersection,35,ahead only
31,17,no entry,14,stop
32,34,turn left ahead,37,go straight or left
33,23,slippery road,31,wild animals crossing
35,17,no entry,14,stop
37,12,priority road,30,beware of ice or snow
38,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
41,30,beware of ice or snow,18,general caution
42,18,general caution,24,road narrows on the right
43,12,priority road,25,road work
45,25,road work,23,slippery road
47,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
50,25,road work,21,double curve
51,13,yield,37,go straight or left
52,15,no vehicles,37,go straight or left
53,9,no passing,15,no vehicles
54,13,yield,30,beware of ice or snow
55,35,ahead only,33,turn right ahead
56,5,speed limit 80,1,speed limit 30
58,9,no passing,15,no vehicles
59,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
60,38,keep right,39,keep left
61,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
63,9,no passing,15,no vehicles
65,9,no passing,15,no vehicles
66,26,traffic signals,28,children crossing
68,5,speed limit 80,2,speed limit 50
72,30,beware of ice or snow,25,road work
73,34,turn left ahead,33,turn right ahead
75,12,priority road,35,ahead only
77,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
78,25,road work,23,slippery road
79,25,road work,31,wild animals crossing
80,21,double curve,31,wild animals crossing
81,33,turn right ahead,37,go straight or left
84,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
85,35,ahead only,33,turn right ahead
86,3,speed limit 60,2,speed limit 50
87,7,speed limit 100,8,speed limit 120
90,3,speed limit 60,2,speed limit 50
94,12,priority road,18,general caution
95,32,end of all speed and passing limits,37,go straight or left
97,38,keep right,17,no entry
98,9,no passing,15,no vehicles
101,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
102,5,speed limit 80,2,speed limit 50
103,11,right-of-way at the next intersection,27,pedestrians
106,35,ahead only,37,go straight or left
108,33,turn right ahead,12,priority road
113,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
114,30,beware of ice or snow,18,general caution
115,3,speed limit 60,2,speed limit 50
117,29,bicycles crossing,25,road work
118,1,speed limit 30,8,speed limit 120
119,17,no entry,30,beware of ice or snow
120,13,yield,40,roundabout mandatory
125,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
126,10,no passing for vehicles over 3.5 metric tons,15,no vehicles
127,30,beware of ice or snow,35,ahead only
128,1,speed limit 30,2,speed limit 50
129,6,end of speed limit 80,42,end of no passing by vehicles over 3.5 metric tons
130,36,go straight or right,33,turn right ahead
131,3,speed limit 60,6,end of speed limit 80
134,11,right-of-way at the next intersection,23,slippery road
135,10,no passing for vehicles over 3.5 metric tons,16,vehicles over 3.5 metric tons prohibited
137,40,roundabout mandatory,32,end of all speed and passing limits
139,38,keep right,39,keep left
143,18,general caution,35,ahead only
145,25,road work,35,ahead only
147,41,end of no passing,42,end of no passing by vehicles over 3.5 metric tons
148,11,right-of-way at the next intersection,24,road narrows on the right
151,24,road narrows on the right,21,double curve
152,11,right-of-way at the next intersection,26,traffic signals
155,3,speed limit 60,2,speed limit 50
156,6,end of speed limit 80,2,speed limit 50
157,9,no passing,15,no vehicles
161,16,vehicles over 3.5 metric tons prohibited,15,no vehicles
163,25,road work,35,ahead only
164,18,general caution,21,double curve
165,9,no passing,15,no vehicles
166,13,yield,37,go straight or left
169,17,no entry,21,double curve
171,38,keep right,15,no vehicles
177,40,roundabout mandatory,33,turn right ahead
182,36,go straight or right,33,turn right ahead
